,ons_item_name,period,CLIP
134,"apples, dessert, per kg",201443.0,97.00960986684994
135,"apples, dessert, per kg",201444.0,96.81346007219165
136,"apples, dessert, per kg",201445.0,97.00960986684994
137,"apples, dessert, per kg",201446.0,97.00960986684994
138,"apples, dessert, per kg",201447.0,97.00960986684994
139,"apples, dessert, per kg",201448.0,97.00960986684994
140,"apples, dessert, per kg",201449.0,97.00960986684994
141,"apples, dessert, per kg",201450.0,96.57517368119215
142,"apples, dessert, per kg",201451.0,96.57517368119215
143,"apples, dessert, per kg",201452.0,96.81346007219165
144,"apples, dessert, per kg",201501.0,96.58977447339252
145,"apples, dessert, per kg",201502.0,96.56672516354695
146,"apples, dessert, per kg",201503.0,95.7905018775369
147,"apples, dessert, per kg",201504.0,96.2506482981017
148,"apples, dessert, per kg",201505.0,96.26553062490132
149,"apples, dessert, per kg",201506.0,97.13340256244238
150,"apples, dessert, per kg",201507.0,96.7191349987918
151,"apples, dessert, per kg",201508.0,96.55392310672173
152,"apples, dessert, per kg",201509.0,96.22250613029242
153,"apples, dessert, per kg",201510.0,96.24259008971278
154,"apples, dessert, per kg",201511.0,96.60863282153221
155,"apples, dessert, per kg",201512.0,96.72977472503305
156,"apples, dessert, per kg",201513.0,97.89322171720428
157,"apples, dessert, per kg",201514.0,98.28899026574639
158,"apples, dessert, per kg",201515.0,98.94781131590885
159,"apples, dessert, per kg",201516.0,99.1743331064118
160,"apples, dessert, per kg",201517.0,100.17770575275244
161,"apples, dessert, per kg",201518.0,100.51001610105148
162,"apples, dessert, per kg",201519.0,100.75265645582267
163,"apples, dessert, per kg",201520.0,100.943084779505
164,"apples, dessert, per kg",201521.0,100.54317378212363
165,"apples, dessert, per kg",201522.0,100.66502880795522
166,"apples, dessert, per kg",201523.0,99.87202663198691
167,"apples, dessert, per kg",201524.0,99.67475410763824
168,"apples, dessert, per kg",201525.0,100.0977799968973
169,"apples, dessert, per kg",201526.0,100.0977799968973
170,"apples, dessert, per kg",201527.0,100.45345599678694
171,"apples, dessert, per kg",201528.0,99.79800681866344
172,"apples, dessert, per kg",201529.0,101.48711993820258
173,"apples, dessert, per kg",201530.0,101.79654332645862
174,"apples, dessert, per kg",201531.0,101.3741167030117
175,"apples, dessert, per kg",201532.0,101.20563728766939
176,"apples, dessert, per kg",201533.0,99.97460803218884
177,"apples, dessert, per kg",201534.0,99.30887991498349
178,"apples, dessert, per kg",201535.0,100.34278285368802
179,"apples, dessert, per kg",201536.0,100.95870501827704
180,"apples, dessert, per kg",201537.0,100.7303977243943
181,"apples, dessert, per kg",201538.0,98.48126953133243
182,"apples, dessert, per kg",201539.0,99.20683143607435
183,"apples, dessert, per kg",201540.0,95.75279840938934
184,"apples, dessert, per kg",201541.0,91.94478918217986
185,"apples, dessert, per kg",201542.0,90.71406993929426
186,"apples, dessert, per kg",201544.0,93.70576842051337
187,"apples, dessert, per kg",201545.0,95.6073454762768
188,"apples, dessert, per kg",201546.0,95.90700272541446
189,"apples, dessert, per kg",201547.0,96.87294393252148
190,"apples, dessert, per kg",201548.0,96.46863865971723
191,"apples, dessert, per kg",201549.0,96.89648671637573
192,"apples, dessert, per kg",201550.0,94.14646820842059
193,"apples, dessert, per kg",201551.0,93.52120751256501
194,"apples, dessert, per kg",201552.0,93.56100142926446
195,"apples, dessert, per kg",201601.0,97.51421115781275
196,"apples, dessert, per kg",201602.0,97.62351909809827
197,"apples, dessert, per kg",201603.0,100.99004213935672
198,"apples, dessert, per kg",201604.0,101.52802319143255
199,"apples, dessert, per kg",201605.0,99.65203321220594
200,"apples, dessert, per kg",201606.0,99.72930426542713
201,"apples, dessert, per kg",201607.0,100.53378170236903
202,"apples, dessert, per kg",201608.0,101.45835258100351
203,"apples, dessert, per kg",201609.0,100.18454708420781
204,"apples, dessert, per kg",201610.0,93.75988609414755
205,"apples, dessert, per kg",201611.0,95.08382784844625
206,"apples, dessert, per kg",201612.0,97.51421115781275
207,"apples, dessert, per kg",201613.0,95.72673402790758
208,"apples, dessert, per kg",201614.0,92.43308487217512
209,"apples, dessert, per kg",201615.0,92.0531673328093
210,"apples, dessert, per kg",201616.0,93.93211883773698
211,"apples, dessert, per kg",201617.0,95.81100756291318
212,"apples, dessert, per kg",201618.0,96.61700176857774
213,"apples, dessert, per kg",201619.0,93.96112488305677
214,"apples, dessert, per kg",201620.0,93.96112488305677
215,"apples, dessert, per kg",201621.0,93.96112488305677
216,"apples, dessert, per kg",201622.0,93.96112488305677
217,"apples, dessert, per kg",201623.0,93.96112488305677
218,"apples, dessert, per kg",201624.0,93.96112488305677
219,"apples, dessert, per kg",201625.0,93.96112488305677
220,"apples, dessert, per kg",201626.0,93.61301589614206
221,"apples, dessert, per kg",201627.0,93.61301589614206
222,"apples, dessert, per kg",201628.0,93.18930029407628
223,"apples, dessert, per kg",201629.0,93.18930029407628
224,"apples, dessert, per kg",201630.0,93.18930029407628
225,"apples, dessert, per kg",201631.0,93.18930029407628
226,"apples, dessert, per kg",201632.0,93.18930029407628
227,"apples, dessert, per kg",201644.0,98.1110133228789
228,"bananas, per kg",201423.0,100.0
229,"bananas, per kg",201424.0,100.0
230,"bananas, per kg",201425.0,103.63449327255323
231,"bananas, per kg",201426.0,110.51268206398044
232,"bananas, per kg",201427.0,110.51268206398044
233,"bananas, per kg",201428.0,110.51268206398044
234,"bananas, per kg",201429.0,110.51268206398044
235,"bananas, per kg",201430.0,110.51268206398044
236,"bananas, per kg",201431.0,110.51268206398044
237,"bananas, per kg",201432.0,110.51268206398044
238,"bananas, per kg",201433.0,110.51268206398044
239,"bananas, per kg",201434.0,110.51268206398044
240,"bananas, per kg",201435.0,110.51268206398044
241,"bananas, per kg",201436.0,107.78518942240407
242,"bananas, per kg",201437.0,107.78518942240407
243,"bananas, per kg",201438.0,110.51268206398044
244,"bananas, per kg",201439.0,106.63696861363962
245,"bananas, per kg",201440.0,100.0
246,"bananas, per kg",201441.0,100.0
247,"bananas, per kg",201442.0,100.0
248,"bananas, per kg",201443.0,100.0
249,"bananas, per kg",201444.0,100.0
250,"bananas, per kg",201445.0,100.0
251,"bananas, per kg",201446.0,100.0
252,"bananas, per kg",201447.0,100.0
253,"bananas, per kg",201448.0,100.0
254,"bananas, per kg",201449.0,100.0
255,"bananas, per kg",201450.0,100.0
256,"bananas, per kg",201451.0,100.0
257,"bananas, per kg",201452.0,100.0
258,"bananas, per kg",201501.0,100.0
259,"bananas, per kg",201502.0,100.0
260,"bananas, per kg",201503.0,100.0
261,"bananas, per kg",201504.0,100.0
262,"bananas, per kg",201505.0,97.33275916685119
263,"bananas, per kg",201506.0,95.3791199526754
264,"bananas, per kg",201507.0,95.3791199526754
265,"bananas, per kg",201508.0,95.3791199526754
266,"bananas, per kg",201509.0,95.3791199526754
267,"bananas, per kg",201510.0,95.3791199526754
268,"bananas, per kg",201511.0,93.88677354168695
269,"bananas, per kg",201512.0,95.3791199526754
270,"bananas, per kg",201513.0,95.3791199526754
271,"bananas, per kg",201514.0,95.3791199526754
272,"bananas, per kg",201515.0,93.88677354168695
273,"bananas, per kg",201516.0,95.3791199526754
274,"bananas, per kg",201517.0,95.3791199526754
275,"bananas, per kg",201518.0,95.3791199526754
276,"bananas, per kg",201519.0,93.88677354168695
277,"bananas, per kg",201520.0,95.3791199526754
278,"bananas, per kg",201521.0,95.3791199526754
279,"bananas, per kg",201522.0,95.3791199526754
280,"bananas, per kg",201523.0,95.3791199526754
281,"bananas, per kg",201524.0,95.3791199526754
282,"bananas, per kg",201525.0,100.0
283,"bananas, per kg",201526.0,100.0
284,"bananas, per kg",201527.0,95.3791199526754
285,"bananas, per kg",201528.0,95.3791199526754
286,"bananas, per kg",201529.0,95.3791199526754
287,"bananas, per kg",201530.0,95.3791199526754
288,"bananas, per kg",201531.0,95.3791199526754
289,"bananas, per kg",201532.0,95.3791199526754
290,"bananas, per kg",201533.0,95.3791199526754
291,"bananas, per kg",201534.0,95.3791199526754
292,"bananas, per kg",201535.0,95.3791199526754
293,"bananas, per kg",201536.0,95.3791199526754
294,"bananas, per kg",201537.0,95.3791199526754
295,"bananas, per kg",201538.0,95.3791199526754
296,"bananas, per kg",201539.0,95.3791199526754
297,"bananas, per kg",201540.0,93.88677354168695
298,"bananas, per kg",201541.0,93.88677354168695
299,"bananas, per kg",201542.0,93.88677354168695
300,"bananas, per kg",201544.0,95.3791199526754
301,"bananas, per kg",201545.0,95.3791199526754
302,"bananas, per kg",201546.0,95.3791199526754
303,"bananas, per kg",201547.0,95.3791199526754
304,"bananas, per kg",201548.0,95.3791199526754
305,"bananas, per kg",201549.0,95.3791199526754
306,"bananas, per kg",201550.0,95.3791199526754
307,"bananas, per kg",201551.0,95.3791199526754
308,"bananas, per kg",201552.0,95.3791199526754
309,"bananas, per kg",201601.0,95.3791199526754
310,"bananas, per kg",201602.0,95.3791199526754
311,"bananas, per kg",201603.0,95.3791199526754
312,"bananas, per kg",201604.0,95.3791199526754
313,"bananas, per kg",201605.0,95.3791199526754
314,"bananas, per kg",201606.0,95.3791199526754
315,"bananas, per kg",201607.0,95.3791199526754
316,"bananas, per kg",201608.0,95.3791199526754
317,"bananas, per kg",201609.0,95.3791199526754
318,"bananas, per kg",201610.0,95.3791199526754
319,"bananas, per kg",201611.0,95.3791199526754
320,"bananas, per kg",201612.0,95.3791199526754
321,"bananas, per kg",201613.0,95.3791199526754
322,"bananas, per kg",201614.0,95.29803847926439
323,"bananas, per kg",201615.0,95.05520738725018
324,"bananas, per kg",201616.0,95.05520738725018
325,"bananas, per kg",201617.0,95.05520738725018
326,"bananas, per kg",201618.0,95.05520738725018
327,"bananas, per kg",201619.0,94.82451497142264
328,"bananas, per kg",201620.0,95.3791199526754
329,"bananas, per kg",201621.0,95.3791199526754
330,"bananas, per kg",201622.0,95.3791199526754
331,"bananas, per kg",201623.0,95.3791199526754
332,"bananas, per kg",201624.0,95.3791199526754
333,"bananas, per kg",201625.0,95.3791199526754
334,"bananas, per kg",201626.0,95.3791199526754
335,"bananas, per kg",201627.0,95.3791199526754
336,"bananas, per kg",201628.0,95.3791199526754
337,"bananas, per kg",201629.0,95.3791199526754
338,"bananas, per kg",201630.0,95.3791199526754
339,"bananas, per kg",201631.0,95.3791199526754
340,"bananas, per kg",201632.0,95.3791199526754
341,"bananas, per kg",201644.0,95.3791199526754
342,"bitter, 4 cans, 3.4%-7.5% abv",201423.0,100.0
343,"bitter, 4 cans, 3.4%-7.5% abv",201424.0,99.88923711029724
344,"bitter, 4 cans, 3.4%-7.5% abv",201425.0,99.54580102878369
345,"bitter, 4 cans, 3.4%-7.5% abv",201426.0,99.44906620669953
346,"bitter, 4 cans, 3.4%-7.5% abv",201427.0,99.72128881328743
347,"bitter, 4 cans, 3.4%-7.5% abv",201428.0,99.99058717289572
348,"bitter, 4 cans, 3.4%-7.5% abv",201429.0,100.33580754603126
