,Top,period,weighted_index
145,Food and Non-Alcoholic Beverages,201502.0,95.015835834
146,Food and Non-Alcoholic Beverages,201503.0,94.3930043453
147,Food and Non-Alcoholic Beverages,201504.0,94.76864768
148,Food and Non-Alcoholic Beverages,201505.0,95.3301181331
149,Food and Non-Alcoholic Beverages,201506.0,95.0363753601
150,Food and Non-Alcoholic Beverages,201507.0,95.0853508283
151,Food and Non-Alcoholic Beverages,201508.0,95.292234912
152,Food and Non-Alcoholic Beverages,201509.0,94.5791358302
153,Food and Non-Alcoholic Beverages,201510.0,94.1014248621
154,Food and Non-Alcoholic Beverages,201511.0,94.5004312711
155,Food and Non-Alcoholic Beverages,201512.0,94.2689322521
156,Food and Non-Alcoholic Beverages,201513.0,94.3897843119
157,Food and Non-Alcoholic Beverages,201514.0,94.2539318074
158,Food and Non-Alcoholic Beverages,201515.0,94.6147361246
159,Food and Non-Alcoholic Beverages,201516.0,94.5134090604
160,Food and Non-Alcoholic Beverages,201517.0,94.3379395946
161,Food and Non-Alcoholic Beverages,201518.0,94.3064844752
162,Food and Non-Alcoholic Beverages,201519.0,94.4977158463
163,Food and Non-Alcoholic Beverages,201520.0,94.4720654584
164,Food and Non-Alcoholic Beverages,201521.0,94.5739859117
165,Food and Non-Alcoholic Beverages,201522.0,94.4676316456
166,Food and Non-Alcoholic Beverages,201523.0,94.1274999526
167,Food and Non-Alcoholic Beverages,201524.0,94.1267644114
168,Food and Non-Alcoholic Beverages,201525.0,94.7075871595
169,Food and Non-Alcoholic Beverages,201526.0,94.9237703595
170,Food and Non-Alcoholic Beverages,201527.0,93.7017544478
171,Food and Non-Alcoholic Beverages,201528.0,93.4255608042
172,Food and Non-Alcoholic Beverages,201529.0,93.3038177375
173,Food and Non-Alcoholic Beverages,201530.0,93.1759009174
174,Food and Non-Alcoholic Beverages,201531.0,93.3311291898
175,Food and Non-Alcoholic Beverages,201532.0,93.0473395293
176,Food and Non-Alcoholic Beverages,201533.0,93.0138653315
177,Food and Non-Alcoholic Beverages,201534.0,92.7443710995
178,Food and Non-Alcoholic Beverages,201535.0,92.4518570744
179,Food and Non-Alcoholic Beverages,201536.0,92.0530329824
180,Food and Non-Alcoholic Beverages,201537.0,91.5537717168
181,Food and Non-Alcoholic Beverages,201538.0,92.010218059
182,Food and Non-Alcoholic Beverages,201539.0,92.4554189904
183,Food and Non-Alcoholic Beverages,201540.0,92.8545909394
184,Food and Non-Alcoholic Beverages,201541.0,92.516078959
185,Food and Non-Alcoholic Beverages,201542.0,92.3062393663
186,Food and Non-Alcoholic Beverages,201544.0,93.3855322278
187,Food and Non-Alcoholic Beverages,201545.0,94.0364256218
188,Food and Non-Alcoholic Beverages,201546.0,94.0719473772
189,Food and Non-Alcoholic Beverages,201547.0,93.5875846817
190,Food and Non-Alcoholic Beverages,201548.0,93.6245475655
191,Food and Non-Alcoholic Beverages,201549.0,94.048414187
192,Food and Non-Alcoholic Beverages,201550.0,93.776920921
193,Food and Non-Alcoholic Beverages,201551.0,94.0042298311
194,Food and Non-Alcoholic Beverages,201552.0,93.8157431309
195,Food and Non-Alcoholic Beverages,201601.0,94.0540728912
196,Food and Non-Alcoholic Beverages,201602.0,92.8825608295
197,Food and Non-Alcoholic Beverages,201603.0,92.3523388191
198,Food and Non-Alcoholic Beverages,201604.0,92.6160520504
199,Food and Non-Alcoholic Beverages,201605.0,92.900052609
200,Food and Non-Alcoholic Beverages,201606.0,93.2138507387
201,Food and Non-Alcoholic Beverages,201607.0,92.6770340052
202,Food and Non-Alcoholic Beverages,201608.0,92.9456024403
203,Food and Non-Alcoholic Beverages,201609.0,92.3561596852
204,Food and Non-Alcoholic Beverages,201610.0,92.2468320393
205,Food and Non-Alcoholic Beverages,201611.0,91.8855190846
206,Food and Non-Alcoholic Beverages,201612.0,91.5519277284
207,Food and Non-Alcoholic Beverages,201613.0,91.0381473873
208,Food and Non-Alcoholic Beverages,201614.0,90.2725530133
209,Food and Non-Alcoholic Beverages,201615.0,90.1768485157
210,Food and Non-Alcoholic Beverages,201616.0,90.6727555144
211,Food and Non-Alcoholic Beverages,201617.0,91.1783504586
212,Food and Non-Alcoholic Beverages,201618.0,91.2624939433
213,Food and Non-Alcoholic Beverages,201619.0,90.5499284024
214,Food and Non-Alcoholic Beverages,201620.0,90.5868206594
215,Food and Non-Alcoholic Beverages,201621.0,88.8475417949
