,GEKS,ons_item_no,i,period
202,92.949795458,211305.0,28.0,201611.0
203,100.0,211501.0,0.0,201406.0
204,99.4037118043,211501.0,1.0,201407.0
205,98.6832251037,211501.0,2.0,201408.0
206,98.8477305452,211501.0,3.0,201409.0
207,94.62262209,211501.0,4.0,201410.0
208,96.3106595943,211501.0,5.0,201411.0
209,95.1729380063,211501.0,6.0,201412.0
210,95.4472002074,211501.0,7.0,201501.0
211,93.7677608793,211501.0,8.0,201502.0
212,95.9514419242,211501.0,9.0,201503.0
213,94.8405765478,211501.0,10.0,201504.0
214,94.7709864655,211501.0,11.0,201505.0
215,95.022602305,211501.0,12.0,201506.0
216,94.1498362007,211501.0,13.0,201507.0
217,93.7446947869,211501.0,14.0,201508.0
218,91.9993130014,211501.0,15.0,201509.0
219,91.8884525398,211501.0,16.0,201510.0
220,89.5725918266,211501.0,17.0,201511.0
221,88.0134397739,211501.0,18.0,201512.0
222,87.2437844735,211501.0,19.0,201601.0
223,87.7539731119,211501.0,20.0,201602.0
224,89.4769862816,211501.0,21.0,201603.0
225,91.3563372743,211501.0,22.0,201604.0
226,91.5222900852,211501.0,23.0,201605.0
227,84.5609175346,211501.0,24.0,201606.0
228,87.5406524184,211501.0,25.0,201607.0
229,87.8359293636,211501.0,26.0,201608.0
230,84.7089270454,211501.0,27.0,201610.0
231,85.2708949702,211501.0,28.0,201611.0
232,100.0,211709.0,0.0,201406.0
233,99.4956835003,211709.0,1.0,201407.0
234,99.3460891842,211709.0,2.0,201408.0
235,97.8405217724,211709.0,3.0,201409.0
236,97.9114463674,211709.0,4.0,201410.0
237,98.0533668201,211709.0,5.0,201411.0
238,97.796493642,211709.0,6.0,201412.0
239,97.7377678485,211709.0,7.0,201501.0
240,97.4850905928,211709.0,8.0,201502.0
241,96.754388076,211709.0,9.0,201503.0
242,96.7983130803,211709.0,10.0,201504.0
243,96.7360818183,211709.0,11.0,201505.0
244,96.6048108965,211709.0,12.0,201506.0
245,96.2678924593,211709.0,13.0,201507.0
246,95.5562454502,211709.0,14.0,201508.0
247,95.6877443905,211709.0,15.0,201509.0
248,96.0090700014,211709.0,16.0,201510.0
249,95.8429028117,211709.0,17.0,201511.0
250,96.4044100339,211709.0,18.0,201512.0
251,95.1720868618,211709.0,19.0,201601.0
252,96.281706512,211709.0,20.0,201602.0
253,94.7266196193,211709.0,21.0,201603.0
254,94.8594742884,211709.0,22.0,201604.0
255,92.9287176887,211709.0,23.0,201605.0
256,93.3778892673,211709.0,24.0,201606.0
257,95.7335766044,211709.0,25.0,201607.0
258,95.5498071099,211709.0,26.0,201608.0
259,95.606317418,211709.0,27.0,201610.0
260,94.331587724,211709.0,28.0,201611.0
261,100.0,211710.0,0.0,201406.0
262,99.4485772118,211710.0,1.0,201407.0
263,99.2749174242,211710.0,2.0,201408.0
264,98.0277706303,211710.0,3.0,201409.0
265,98.1778871195,211710.0,4.0,201410.0
266,98.0894420638,211710.0,5.0,201411.0
267,97.0022007369,211710.0,6.0,201412.0
268,96.6089274287,211710.0,7.0,201501.0
269,95.474807982,211710.0,8.0,201502.0
270,95.3112475514,211710.0,9.0,201503.0
271,95.3266322078,211710.0,10.0,201504.0
272,95.2275259777,211710.0,11.0,201505.0
273,94.8167608224,211710.0,12.0,201506.0
274,94.7814796154,211710.0,13.0,201507.0
275,94.359652653,211710.0,14.0,201508.0
276,94.7593410004,211710.0,15.0,201509.0
277,94.0376030902,211710.0,16.0,201510.0
278,95.7003383191,211710.0,17.0,201511.0
279,95.59077595,211710.0,18.0,201512.0
280,95.4934924832,211710.0,19.0,201601.0
281,95.4065333064,211710.0,20.0,201602.0
282,95.3283377547,211710.0,21.0,201603.0
283,93.9724641024,211710.0,22.0,201604.0
284,93.4889103602,211710.0,23.0,201605.0
285,86.6155753735,211710.0,24.0,201606.0
286,86.1613116566,211710.0,25.0,201607.0
287,86.5967458728,211710.0,26.0,201608.0
288,93.4256957153,211710.0,27.0,201610.0
289,92.2312946849,211710.0,28.0,201611.0
290,100.0,211807.0,0.0,201406.0
291,102.048358962,211807.0,1.0,201407.0
292,98.5312011474,211807.0,2.0,201408.0
293,95.9765076974,211807.0,3.0,201409.0
294,96.7902986134,211807.0,4.0,201410.0
295,99.7657829449,211807.0,5.0,201411.0
296,100.459527588,211807.0,6.0,201412.0
297,80.0032028164,211807.0,7.0,201501.0
298,98.7188918208,211807.0,8.0,201502.0
299,97.8582736925,211807.0,9.0,201503.0
300,98.2046450475,211807.0,10.0,201504.0
301,98.5072978184,211807.0,11.0,201505.0
302,98.3308734567,211807.0,12.0,201506.0
