,ons_item_number,period,unit
232,210204.0,201427.0,100.301513163
233,210204.0,201428.0,100.403885734
234,210204.0,201429.0,100.557612686
235,210204.0,201430.0,100.900880927
236,210204.0,201431.0,100.607367039
237,210204.0,201432.0,98.1932957145
238,210204.0,201433.0,97.006831213
239,210204.0,201434.0,99.4314612483
240,210204.0,201435.0,99.2634463175
241,210204.0,201436.0,99.3522753045
242,210204.0,201437.0,99.2395895523
243,210204.0,201438.0,97.775926492
244,210204.0,201439.0,97.1798137384
245,210204.0,201440.0,97.7377524898
246,210204.0,201441.0,98.2269347965
247,210204.0,201442.0,98.2038175323
248,210204.0,201443.0,98.6131898382
249,210204.0,201444.0,98.4360224461
250,210204.0,201445.0,98.4758391842
251,210204.0,201446.0,98.4872762344
252,210204.0,201447.0,91.0003683707
253,210204.0,201448.0,88.2545819201
254,210204.0,201449.0,88.8834487546
255,210204.0,201450.0,90.1536394409
256,210204.0,201451.0,89.8660378367
257,210204.0,201452.0,89.7957121063
258,210204.0,201501.0,89.4992924697
259,210204.0,201502.0,88.1823139044
260,210204.0,201503.0,87.791280404
261,210204.0,201504.0,88.3422626267
262,210204.0,201505.0,88.0419110135
263,210204.0,201506.0,88.0848141955
264,210204.0,201507.0,88.7564424817
265,210204.0,201508.0,91.5778083231
266,210204.0,201509.0,94.83653052
267,210204.0,201510.0,93.7318303432
268,210204.0,201511.0,91.2477270883
269,210204.0,201512.0,90.8917031593
270,210204.0,201513.0,93.2621455311
271,210204.0,201514.0,93.9302074182
272,210204.0,201515.0,94.0372140597
273,210204.0,201516.0,91.6468585025
274,210204.0,201517.0,90.8731098355
275,210204.0,201518.0,90.8519550477
276,210204.0,201519.0,92.4640673798
277,210204.0,201520.0,92.9674544209
278,210204.0,201521.0,92.7089308404
279,210204.0,201522.0,90.9857134119
280,210204.0,201523.0,89.993403047
281,210204.0,201524.0,89.9962078932
282,210204.0,201525.0,91.8124907968
283,210204.0,201526.0,84.4733428333
284,210204.0,201527.0,85.7718900645
285,210204.0,201528.0,90.2165734462
286,210204.0,201529.0,87.9513581351
287,210204.0,201530.0,88.8399201185
288,210204.0,201531.0,91.2347978949
289,210204.0,201532.0,92.8014173158
290,210204.0,201533.0,92.259617623
291,210204.0,201534.0,92.4569442019
292,210204.0,201535.0,90.5475275796
293,210204.0,201536.0,90.2902092488
294,210204.0,201537.0,87.7226401185
295,210204.0,201538.0,87.1070003949
296,210204.0,201539.0,86.0050209751
297,210204.0,201540.0,84.5136088677
298,210204.0,201541.0,85.4219406782
299,210204.0,201542.0,87.3243629651
300,210204.0,201543.0,87.3846551203
301,210204.0,201545.0,85.2986366276
302,210204.0,201546.0,85.3221265028
303,210204.0,201547.0,85.0236159059
304,210204.0,201548.0,79.0265977885
305,210204.0,201549.0,78.4022449543
306,210204.0,201550.0,78.4220117424
307,210204.0,201551.0,78.1573353188
308,210204.0,201552.0,77.0202753573
309,210204.0,201601.0,78.8712965417
310,210204.0,201602.0,78.7417799214
311,210204.0,201603.0,77.129284168
312,210204.0,201604.0,77.0320665165
313,210204.0,201605.0,79.1958207252
314,210204.0,201606.0,84.1188238497
315,210204.0,201607.0,84.1323487525
316,210204.0,201608.0,83.713744568
317,210204.0,201609.0,83.9987718756
318,210204.0,201610.0,82.7125502372
319,210204.0,201611.0,80.4113343726
320,210204.0,201612.0,81.8574163345
321,210204.0,201613.0,81.9287114153
322,210204.0,201614.0,83.2439713433
323,210204.0,201615.0,83.5753597692
324,210204.0,201616.0,78.3632046871
325,210204.0,201617.0,77.9524452741
326,210204.0,201618.0,80.3102428843
327,210204.0,201619.0,82.4156295672
328,210204.0,201620.0,82.5264400188
329,210204.0,201621.0,82.3377290921
330,210204.0,201622.0,82.3520965362
331,210204.0,201623.0,79.1754388429
332,210204.0,201624.0,79.0691697175
333,210204.0,201625.0,79.0691697175
334,210204.0,201626.0,83.0192301323
335,210204.0,201627.0,84.2412823758
336,210204.0,201628.0,83.2054478175
337,210204.0,201629.0,79.7094199034
338,210204.0,201630.0,79.0440276639
339,210204.0,201631.0,79.2879260041
340,210204.0,201632.0,79.2879260041
341,210204.0,201644.0,80.9637985546
342,210213.0,201423.0,100.0
343,210213.0,201424.0,99.4990006382
