,i,ons_item_number,period,unit
567,26,212319.0,201613,79.99999999999999
568,27,212319.0,201614,79.99999999999999
569,28,212319.0,201615,92.83177667225556
570,29,212319.0,201616,99.99999999999999
571,12,212319.0,201619,100
572,13,212319.0,201620,100
573,14,212319.0,201621,100
574,15,212319.0,201622,100
575,16,212319.0,201623,100
576,17,212319.0,201624,100
577,18,212319.0,201625,100
578,19,212319.0,201626,100
579,20,212319.0,201627,100
580,21,212319.0,201628,100
581,22,212319.0,201629,100
582,23,212319.0,201630,100
583,24,212319.0,201631,100
584,25,212319.0,201632,100
585,30,212319.0,201644,100
586,0,212360.0,201601,100.0
587,1,212360.0,201602,98.87738549925947
588,2,212360.0,201603,98.87738549925947
589,3,212360.0,201604,100.16557725656918
590,4,212360.0,201605,99.8702679851615
591,5,212360.0,201606,98.81361810056931
592,6,212360.0,201607,99.45449843275793
593,7,212360.0,201608,99.80906347882073
594,8,212360.0,201609,99.6870299288765
595,9,212360.0,201610,98.38684273033616
596,27,212360.0,201611,97.99458629267556
597,24,212360.0,201612,98.19330445619127
598,25,212360.0,201613,98.19330445619127
599,26,212360.0,201614,98.19330445619127
600,28,212360.0,201615,98.19330445619127
601,29,212360.0,201616,98.19330445619127
602,30,212360.0,201617,98.19330445619127
603,31,212360.0,201618,95.81723581247718
604,10,212360.0,201619,91.02821015130402
605,11,212360.0,201620,96.41925040026271
606,12,212360.0,201621,100.0
607,13,212360.0,201622,100.0
608,14,212360.0,201623,100.0
609,15,212360.0,201624,100.0
610,16,212360.0,201625,96.41925040026273
611,17,212360.0,201626,96.41925040026271
612,18,212360.0,201627,96.41925040026271
613,19,212360.0,201628,96.41925040026273
614,20,212360.0,201629,96.41925040026271
615,21,212360.0,201630,96.41925040026273
616,22,212360.0,201631,96.41925040026273
617,23,212360.0,201632,96.41925040026271
618,32,212360.0,201644,95.39761013763069
619,8,212515.0,201601,100.0
620,9,212515.0,201602,98.75630755089098
621,0,212515.0,201603,98.77761892471987
622,1,212515.0,201604,99.74408120113053
623,2,212515.0,201605,99.45737839185283
624,3,212515.0,201606,99.87903309859763
625,4,212515.0,201607,99.93873561706256
626,5,212515.0,201608,100.28937052252462
627,6,212515.0,201609,100.28937052252462
628,7,212515.0,201610,99.83590922874747
629,10,212515.0,201611,99.45402267781309
630,11,212515.0,201612,99.04192865317502
631,26,212515.0,201613,98.45589715433621
632,27,212515.0,201614,98.45589715433621
633,28,212515.0,201615,98.45589715433621
634,29,212515.0,201616,96.29817900608967
635,30,212515.0,201617,96.47997249357286
636,31,212515.0,201618,98.55128033639396
637,12,212515.0,201619,97.10703540296002
638,13,212515.0,201620,94.76421865166138
639,14,212515.0,201621,90.36020036098448
640,15,212515.0,201622,90.36020036098448
641,16,212515.0,201623,100.0
642,17,212515.0,201624,100.0
643,18,212515.0,201625,95.05798249541407
644,19,212515.0,201626,95.05798249541407
645,20,212515.0,201627,94.3722057435498
646,21,212515.0,201628,99.99999999999999
647,22,212515.0,201629,99.99999999999999
648,23,212515.0,201630,100.0
649,24,212515.0,201631,100.0
650,25,212515.0,201632,99.99999999999999
651,32,212515.0,201644,98.95232336477152
652,0,212519.0,201601,100.0
653,1,212519.0,201602,99.86149752425669
654,2,212519.0,201603,99.86149752425669
655,3,212519.0,201604,99.85842187124919
656,4,212519.0,201605,99.85842187124919
657,5,212519.0,201606,99.84831682116865
658,6,212519.0,201607,99.83854388984516
659,7,212519.0,201608,99.45831385016083
660,8,212519.0,201609,99.22178364695688
661,9,212519.0,201610,99.22178364695688
662,24,212519.0,201611,97.97311563895754
663,25,212519.0,201612,95.30702186071832
664,26,212519.0,201613,93.4440703669446
665,27,212519.0,201614,93.31775899717056
666,29,212519.0,201615,93.40871686707936
667,30,212519.0,201616,93.40871686707936
668,31,212519.0,201617,93.40871686707936
669,28,212519.0,201618,93.31775899717056
670,10,212519.0,201619,93.57626973070249
671,11,212519.0,201620,93.57626973070249
672,12,212519.0,201621,95.95285506567754
673,13,212519.0,201622,94.97276205151927
674,14,212519.0,201623,92.48037995289503
675,15,212519.0,201624,92.48037995289503
676,16,212519.0,201625,98.49540461685301
677,17,212519.0,201626,98.49540461685301
678,18,212519.0,201627,98.49540461685301
679,19,212519.0,201628,98.49540461685301
680,20,212519.0,201629,98.49540461685301
681,21,212519.0,201630,98.34619583314299
682,22,212519.0,201631,98.34619583314297
683,23,212519.0,201632,98.34619583314297
684,32,212519.0,201644,93.7665310977825
685,5,212717.0,201601,100.0
686,6,212717.0,201602,100.29457052962184
687,7,212717.0,201603,100.29812485721821
688,8,212717.0,201604,104.00140764920793
689,9,212717.0,201605,104.5384756169796
690,0,212717.0,201606,102.82557032670083
691,1,212717.0,201607,102.95137933046472
692,2,212717.0,201608,103.65904538506092
693,3,212717.0,201609,104.72817823494532
694,4,212717.0,201610,102.69254884878347
695,31,212717.0,201611,83.40243837927046
696,24,212717.0,201612,97.58526818213467
697,25,212717.0,201613,100.68291892554673
698,26,212717.0,201614,97.14185834703609
699,27,212717.0,201615,97.00781272661332
700,28,212717.0,201616,99.21296281325962
701,29,212717.0,201617,102.18516585903426
702,30,212717.0,201618,102.65315436602289
703,19,212717.0,201619,98.54073142037763
704,20,212717.0,201620,98.54073142037763
705,21,212717.0,201621,98.54073142037763
706,22,212717.0,201622,98.54073142037763
707,23,212717.0,201623,98.54073142037763
708,10,212717.0,201624,98.54073142037763
709,11,212717.0,201625,98.54073142037763
710,12,212717.0,201626,98.39598093120301
711,13,212717.0,201627,98.39598093120301
712,14,212717.0,201628,98.21935239185773
713,15,212717.0,201629,98.21935239185773
714,16,212717.0,201630,98.21935239185773
715,17,212717.0,201631,98.21935239185773
716,18,212717.0,201632,98.21935239185773
717,32,212717.0,201644,101.34093160121978
718,0,212719.0,201601,100.0
719,1,212719.0,201602,100.0
