,ons_item_number,period,unit
312,211807.0,201604.0,127.148443923
313,211807.0,201605.0,118.378648049
314,211807.0,201606.0,112.289247903
315,211807.0,201607.0,117.169538443
316,211807.0,201608.0,123.904106741
317,211807.0,201610.0,121.969670316
318,211807.0,201611.0,122.340589588
319,211814.0,201406.0,100.0
320,211814.0,201407.0,100.174258214
321,211814.0,201408.0,102.393187593
322,211814.0,201409.0,100.952327049
323,211814.0,201410.0,100.67523318
324,211814.0,201411.0,100.424006105
325,211814.0,201412.0,100.791901893
326,211814.0,201501.0,101.443054457
327,211814.0,201502.0,100.553491664
328,211814.0,201503.0,101.32806625
329,211814.0,201504.0,101.441464603
330,211814.0,201505.0,101.470805659
331,211814.0,201506.0,100.645416588
332,211814.0,201507.0,100.695685548
333,211814.0,201508.0,100.310112185
334,211814.0,201509.0,99.5202765178
335,211814.0,201510.0,98.7915841775
336,211814.0,201511.0,100.325019473
337,211814.0,201512.0,100.960251852
338,211814.0,201601.0,99.5077534057
339,211814.0,201602.0,101.566532809
340,211814.0,201603.0,99.3645941803
341,211814.0,201604.0,96.1796434142
342,211814.0,201605.0,90.7967865244
343,211814.0,201606.0,92.8789804705
344,211814.0,201607.0,91.555196867
345,211814.0,201608.0,92.5726026273
346,211814.0,201610.0,94.5024971847
347,211814.0,201611.0,94.8378148471
348,211901.0,201406.0,100.0
349,211901.0,201407.0,101.523334337
350,211901.0,201408.0,99.9609978929
351,211901.0,201409.0,99.2699852323
352,211901.0,201410.0,101.066907507
353,211901.0,201411.0,100.233711243
354,211901.0,201412.0,95.2646893138
355,211901.0,201501.0,100.215531567
356,211901.0,201502.0,100.348963509
357,211901.0,201503.0,98.802212405
358,211901.0,201504.0,101.259279354
359,211901.0,201505.0,98.2914338551
360,211901.0,201506.0,98.5815907076
361,211901.0,201507.0,97.8011019506
362,211901.0,201508.0,95.3032589316
363,211901.0,201509.0,96.3764480458
364,211901.0,201510.0,95.2101666145
365,211901.0,201511.0,95.3899130172
366,211901.0,201512.0,97.0660878393
367,211901.0,201601.0,94.3729126355
368,211901.0,201602.0,98.4548903868
369,211901.0,201603.0,97.0500249381
370,211901.0,201604.0,95.5923635006
371,211901.0,201605.0,97.1940605714
372,211901.0,201606.0,96.7597773546
373,211901.0,201607.0,97.2822510318
374,211901.0,201608.0,96.4204669945
