,category,index,value,date
35,010000Food & Non-Alcoholic Beverages,Index2,100.391388776,01/12/14
36,010000Food & Non-Alcoholic Beverages,Index2,98.8012910265,01/01/15
37,010000Food & Non-Alcoholic Beverages,Index2,98.3694366518,01/02/15
38,010000Food & Non-Alcoholic Beverages,Index2,97.7290335257,01/03/15
39,010000Food & Non-Alcoholic Beverages,Index2,98.0633249644,01/04/15
40,010000Food & Non-Alcoholic Beverages,Index2,97.9886833432,01/05/15
41,010000Food & Non-Alcoholic Beverages,Index2,97.8388341761,01/06/15
42,010000Food & Non-Alcoholic Beverages,Index2,97.425133192,01/07/15
43,010000Food & Non-Alcoholic Beverages,Index2,97.0412484585,01/08/15
44,010000Food & Non-Alcoholic Beverages,Index2,95.7806765986,01/09/15
45,010000Food & Non-Alcoholic Beverages,Index2,95.0243441997,01/10/15
46,010000Food & Non-Alcoholic Beverages,Index2,96.2040649808,01/11/15
47,010000Food & Non-Alcoholic Beverages,Index2,96.7784532593,01/12/15
48,010000Food & Non-Alcoholic Beverages,Index2,95.2446150027,01/01/16
49,010000Food & Non-Alcoholic Beverages,Index2,95.7300206368,01/02/16
50,010000Food & Non-Alcoholic Beverages,Index2,94.078720982,01/03/16
51,010000Food & Non-Alcoholic Beverages,Index2,89.8801386142,01/04/16
52,010000Food & Non-Alcoholic Beverages,Index2,90.4888410976,01/05/16
53,010000Food & Non-Alcoholic Beverages,Index2,91.3164893035,01/06/16
54,010000Food & Non-Alcoholic Beverages,Index2,91.0960510079,01/07/16
55,010000Food & Non-Alcoholic Beverages,Index2,91.1379632203,01/08/16
56,010000Food & Non-Alcoholic Beverages,Index2,90.7622811,01/10/16
57,010000Food & Non-Alcoholic Beverages,Index2,90.900573928,01/11/16
0,020000Alcoholic Beverages,Index3,100.0,01/06/14
1,020000Alcoholic Beverages,Index3,100.879920307,01/07/14
2,020000Alcoholic Beverages,Index3,101.092701037,01/08/14
3,020000Alcoholic Beverages,Index3,100.061162582,01/09/14
4,020000Alcoholic Beverages,Index3,99.8621643616,01/10/14
5,020000Alcoholic Beverages,Index3,99.4038503062,01/11/14
6,020000Alcoholic Beverages,Index3,97.1228880773,01/12/14
7,020000Alcoholic Beverages,Index3,98.9607184539,01/01/15
8,020000Alcoholic Beverages,Index3,99.1521860139,01/02/15
9,020000Alcoholic Beverages,Index3,98.858199185,01/03/15
10,020000Alcoholic Beverages,Index3,97.7941256104,01/04/15
11,020000Alcoholic Beverages,Index3,99.268032973,01/05/15
12,020000Alcoholic Beverages,Index3,97.4740891864,01/06/15
13,020000Alcoholic Beverages,Index3,98.2581295517,01/07/15
14,020000Alcoholic Beverages,Index3,98.2197396479,01/08/15
15,020000Alcoholic Beverages,Index3,96.9833711726,01/09/15
16,020000Alcoholic Beverages,Index3,97.4274577978,01/10/15
17,020000Alcoholic Beverages,Index3,97.4811619849,01/11/15
18,020000Alcoholic Beverages,Index3,97.5429864325,01/12/15
19,020000Alcoholic Beverages,Index3,97.9980706856,01/01/16
20,020000Alcoholic Beverages,Index3,96.9756562726,01/02/16
21,020000Alcoholic Beverages,Index3,96.3636920989,01/03/16
22,020000Alcoholic Beverages,Index3,96.5841548002,01/04/16
23,020000Alcoholic Beverages,Index3,97.6949949742,01/05/16
24,020000Alcoholic Beverages,Index3,96.5773340045,01/06/16
25,020000Alcoholic Beverages,Index3,97.8923641732,01/07/16
26,020000Alcoholic Beverages,Index3,97.9501865798,01/08/16
27,020000Alcoholic Beverages,Index3,96.6530089197,01/10/16
28,020000Alcoholic Beverages,Index3,96.5889884362,01/11/16
29,010000Food & Non-Alcoholic Beverages,Index3,99.99999999,01/06/14
30,010000Food & Non-Alcoholic Beverages,Index3,100.746745975,01/07/14
31,010000Food & Non-Alcoholic Beverages,Index3,100.043053676,01/08/14
32,010000Food & Non-Alcoholic Beverages,Index3,99.8322512964,01/09/14
33,010000Food & Non-Alcoholic Beverages,Index3,99.3882190105,01/10/14
34,010000Food & Non-Alcoholic Beverages,Index3,101.970107163,01/11/14
35,010000Food & Non-Alcoholic Beverages,Index3,101.333763038,01/12/14
36,010000Food & Non-Alcoholic Beverages,Index3,97.4760462631,01/01/15
37,010000Food & Non-Alcoholic Beverages,Index3,97.2438679482,01/02/15
38,010000Food & Non-Alcoholic Beverages,Index3,97.6734392974,01/03/15
39,010000Food & Non-Alcoholic Beverages,Index3,98.1161460508,01/04/15
40,010000Food & Non-Alcoholic Beverages,Index3,97.8400317693,01/05/15
41,010000Food & Non-Alcoholic Beverages,Index3,97.3603014856,01/06/15
42,010000Food & Non-Alcoholic Beverages,Index3,96.5047912517,01/07/15
