,index,ons_name,type
871,0.0,"potatoes, new",Jevons
872,0.0,"potatoes, new",Jevons
873,0.0,"potatoes, old, white",Jevons
874,0.0,"potatoes, old, white",Jevons
875,0.0,"potatoes, old, white",Jevons
876,0.0,"potatoes, old, white",Jevons
877,0.0,"potatoes, old, white",Jevons
878,0.0,"potatoes, old, white",Jevons
879,0.0,"potatoes, old, white",Jevons
880,0.0,"potatoes, old, white",Jevons
881,0.0,"potatoes, old, white",Jevons
882,0.0,"potatoes, old, white",Jevons
883,0.0,"red wine, european, bottle",CLIP
884,0.0,"red wine, european, bottle",CLIP
885,0.0,"red wine, european, bottle",CLIP
886,0.0,"red wine, european, bottle",CLIP
887,0.0,"red wine, european, bottle",CLIP
888,0.0,"red wine, european, bottle",CLIP
889,0.0,"red wine, european, bottle",CLIP
890,0.0,"red wine, european, bottle",CLIP
891,0.0,"red wine, european, bottle",CLIP
892,0.0,"red wine, european, bottle",CLIP
893,0.0,"rum, white, bottle",CLIP
894,0.0,"rum, white, bottle",CLIP
895,0.0,"rum, white, bottle",CLIP
896,0.0,"rum, white, bottle",CLIP
897,0.0,"rum, white, bottle",CLIP
898,0.0,"rum, white, bottle",CLIP
899,0.0,"rum, white, bottle",CLIP
900,0.0,"rum, white, bottle",CLIP
901,0.0,"rum, white, bottle",CLIP
902,0.0,"rum, white, bottle",CLIP
903,0.0,"shop milk, whole milk",CLIP
904,0.0,"shop milk, whole milk",CLIP
905,0.0,"shop milk, whole milk",CLIP
906,0.0,"shop milk, whole milk",CLIP
907,0.0,"shop milk, whole milk",CLIP
908,0.0,"shop milk, whole milk",CLIP
909,0.0,"shop milk, whole milk",CLIP
910,0.0,"shop milk, whole milk",CLIP
911,0.0,"shop milk, whole milk",CLIP
912,0.0,"shop milk, whole milk",CLIP
913,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
914,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
915,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
916,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
917,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
918,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
919,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
920,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
921,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
922,0.0,"shop milk,semi-skimmed, per 2 pints/1.136 litre",Jevons
923,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
924,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
925,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
926,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
927,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
928,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
929,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
930,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
931,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
932,0.0,"spreadable butter, 500g, 40-70% butter content",CLIP
933,0.0,"strawberries, per kg or per punnet",Jevons
934,0.0,"strawberries, per kg or per punnet",Jevons
935,0.0,"strawberries, per kg or per punnet",Jevons
936,0.0,"strawberries, per kg or per punnet",Jevons
937,0.0,"strawberries, per kg or per punnet",Jevons
938,0.0,"strawberries, per kg or per punnet",Jevons
939,0.0,"strawberries, per kg or per punnet",Jevons
940,0.0,"strawberries, per kg or per punnet",Jevons
941,0.0,"strawberries, per kg or per punnet",Jevons
942,0.0,"strawberries, per kg or per punnet",Jevons
943,0.0,"tea bags, per packet of 80, 250g",CLIP
944,0.0,"tea bags, per packet of 80, 250g",CLIP
945,0.0,"tea bags, per packet of 80, 250g",CLIP
946,0.0,"tea bags, per packet of 80, 250g",CLIP
947,0.0,"tea bags, per packet of 80, 250g",CLIP
948,0.0,"tea bags, per packet of 80, 250g",CLIP
949,0.0,"tea bags, per packet of 80, 250g",CLIP
950,0.0,"tea bags, per packet of 80, 250g",CLIP
951,0.0,"tea bags, per packet of 80, 250g",CLIP
952,0.0,"tea bags, per packet of 80, 250g",CLIP
953,0.0,"vodka, bottle",jevons
954,0.0,"vodka, bottle",jevons
955,0.0,"vodka, bottle",jevons
956,0.0,"vodka, bottle",jevons
957,0.0,"vodka, bottle",jevons
958,0.0,"vodka, bottle",jevons
959,0.0,"vodka, bottle",jevons
960,0.0,"vodka, bottle",jevons
961,0.0,"vodka, bottle",jevons
962,0.0,"vodka, bottle",jevons
963,0.0,"whisky, bottle",CLIP
964,0.0,"whisky, bottle",CLIP
965,0.0,"whisky, bottle",CLIP
966,0.0,"whisky, bottle",CLIP
967,0.0,"whisky, bottle",CLIP
968,0.0,"whisky, bottle",CLIP
969,0.0,"whisky, bottle",CLIP
970,0.0,"whisky, bottle",CLIP
971,0.0,"whisky, bottle",CLIP
972,0.0,"whisky, bottle",CLIP
973,0.0,"white sliced loaf, branded",CLIP
974,0.0,"white sliced loaf, branded",CLIP
975,0.0,"white sliced loaf, branded",CLIP
976,0.0,"white sliced loaf, branded",CLIP
977,0.0,"white sliced loaf, branded",CLIP
978,0.0,"white sliced loaf, branded",CLIP
979,0.0,"white sliced loaf, branded",CLIP
980,0.0,"white sliced loaf, branded",CLIP
981,0.0,"white sliced loaf, branded",CLIP
982,0.0,"white sliced loaf, branded",CLIP
983,0.0,"white wine, european, bottle",jevons
984,0.0,"white wine, european, bottle",jevons
985,0.0,"white wine, european, bottle",jevons
986,0.0,"white wine, european, bottle",jevons
987,0.0,"white wine, european, bottle",jevons
988,0.0,"white wine, european, bottle",jevons
989,0.0,"white wine, european, bottle",jevons
990,0.0,"white wine, european, bottle",jevons
991,0.0,"white wine, european, bottle",jevons
992,0.0,"white wine, european, bottle",jevons
993,0.0,"wholemeal sliced loaf, branded",CLIP
994,0.0,"wholemeal sliced loaf, branded",CLIP
995,0.0,"wholemeal sliced loaf, branded",CLIP
996,0.0,"wholemeal sliced loaf, branded",CLIP
997,0.0,"wholemeal sliced loaf, branded",CLIP
998,0.0,"wholemeal sliced loaf, branded",CLIP
999,0.0,"wholemeal sliced loaf, branded",CLIP
1000,0.0,"wholemeal sliced loaf, branded",CLIP
1001,0.0,"wholemeal sliced loaf, branded",CLIP
1002,0.0,"wholemeal sliced loaf, branded",CLIP
1003,0.0,"yoghurt, small individual",Jevons
1004,0.0,"yoghurt, small individual",Jevons
1005,0.0,"yoghurt, small individual",Jevons
1006,0.0,"yoghurt, small individual",Jevons
1007,0.0,"yoghurt, small individual",Jevons
1008,0.0,"yoghurt, small individual",Jevons
1009,0.0,"yoghurt, small individual",Jevons
1010,0.0,"yoghurt, small individual",Jevons
1011,0.0,"yoghurt, small individual",Jevons
1012,0.0,"yoghurt, small individual",Jevons
1013,0.0,yoghurt/fromage frais,CLIP
1014,0.0,yoghurt/fromage frais,CLIP
1015,0.0,yoghurt/fromage frais,CLIP
1016,0.0,yoghurt/fromage frais,CLIP
1017,0.0,yoghurt/fromage frais,CLIP
1018,0.0,yoghurt/fromage frais,CLIP
1019,0.0,yoghurt/fromage frais,CLIP
1020,0.0,yoghurt/fromage frais,CLIP
1021,0.0,yoghurt/fromage frais,CLIP
0,0.0,yoghurt/fromage frais,CLIP
